CASE	QUESTNNR	MODE	AU01	AU02	AU03	RU01_01	RU02_01	RU03_01	RU04_01	RU05_01	RU06_01	AS01	AS02	AS03	RS01_01	RS02_01	RS03_01	RS04_01	RS05_01	RS06_01	AW01	AW02	AW03	RW01_01	RW02_01	RW03_01	RW04_01	RW05_01	RW06_01	AK01	AK02	AK03	RK01_01	RK02_01	RK03_01	RK04_01	RK05_01	RK06_01	KD01	KD06	KD06_01	KD06_02	KD06_03	KD06_04	KD06_05	KD07	KD09	TIME001	TIME002	TIME003	TIME004	TIME005	TIME006	TIME007	TIME008	TIME009	TIME010	TIME011	TIME012	TIME013	TIME014	TIME015	TIME016	TIME017	TIME018	TIME019	TIME020	TIME021	TIME022	TIME023	TIME024	TIME025	TIME026	TIME027	TIME028	TIME029	TIME030	TIME031	TIME032	TIME033	TIME034	TIME035	TIME036	TIME037	TIME038	TIME039	TIME040	TIME041	TIME042	TIME043	TIME044	TIME_SUM	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE
140	FB2	interview	1	1	1	5		7		7		1	1	1	8		8		5		2	2	1		7		5	7		1	1	1	8		6		5		1	2	T	F	F	T	F	4	3	167	2	10	7		9	2		10	5		7	11	8		4	4		3	3		2	4	1		4	1		6	1		2	4		2	11		4	3	2		2	31	10	170	T	F	44	44
144	FB2	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	3	T	T	F	F	T	3	3	10	3	18			12			16			6	15			16			13			4	7			14			14			3	23			15			12			2	76	31	310	T	F	44	44
150	FB2	interview	2	1	1		6	3		7		1	1	1	4		5		5		2	1	1		4	5		5		-1	2	2				4		5	2	1	F	F	F	T	F	4	2	4	8	16			14		16	15		3	11	9		6	19	4		4	4		6	7	4		4	2		5	3		7	10		4	8	5		12	2		4	27	36	247	T	F	44	44
155	FB2	interview	2	-1	1		3			3		-1	1	1			3		3		2	-1	1		4			2		1	1	1	4		7		7		1	1	T	F	F	F	F	1	2	19	12	24	12		9	5		8	4		7	12		2	7			5	3		5	6			5	4		7	2		7	14		3	8			6	3		2	47	21	257	T	F	44	44
162	FB2	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	4	T	T	T	T	F	4	3	25	3	13			19			6			3	14			23			7			3	15			5			10			1	14			8			8			2	46	29	254	T	F	44	44
163	FB2	interview	-1	-1	-1							1	1	-1	4		4				2	-1	1		4			3		1	1	2	6		4			3	2	2	F	T	T	F	F	1	2	1573	22	20	32		23	5		19		82	9	20			22			13			9	42	5		12	5		16			10	11		10	14			10	3		3	25	21	359	T	F	44	44
186	FB2	interview	-1	-1	1					6		-1	2	-1				3			-1	-1	-1							-1	1	1			8		6		1	4	T	F	T	T	T	3	2	16	12	23			49	15		14	11		9	11			15			11	8		6	16			17		11	14			4	6			9			7			3	71	72	419	T	F	44	44
188	FB2	interview	1	2	2	6			4		5	-1	-1	-1							2	-1	1		5			2		-1	-1	-1							2	4	T	T	T	T	F	4	3	4	2	9			7			3			2	5	9		5		4	4		3	1	10			9			3			3	8		2	6			5	3		1	19	21	132	T	F	44	44
193	FB2	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							1	2	F	F	T	F	T	4	3	4	9	17			18			13			7	19			11			17			5	10			15			14			3	18			9			6			3	52	24	274	T	F	44	44
194	FB2	interview	-1	2	1				4	4		2	2	2		4		5		2	2	-1	1		6			4		-1	1	1			4		3		1	1	F	F	F	T	F	1	2	5	16	66			16	28		17	24		10	17			24		4	12	7		48	21		4	15		3	26		4	2	14		4	26			5	4		4	31	66	470	T	F	44	44
